fc_company_name,fc_logo_url,fc_website,fc_approx_employees,fc_founded,fc_overview,fc_address_line1,fc_address_line2,fc_address_locality,fc_address_region_name,fc_address_postal_code,fc_address_country_name,fc_company_description,final_grade,unnatural_link,spam_score,trust_metrics,link_popularity,rank,industry_ranking,inc_ranking,Industry,revenue
Marathon Energy Corporation,https://d2ojpxxtu63wzl.cloudfront.net/static/51102e30e3be6b5bc83f6e2157f1b308_6b345e454ed49a6ce103ace02fef95ddc5af579648dc1788ea745e4a03fbcf75,http://mecny.com,"10,001+ employees",1985,"Brooklyn, Energy, Golf, Retail Industry, Twitter",,,,,,,"Mercy Health (formerly Catholic Health Partners) is the largest health system in Ohio and one of the largest nonprofit health systems in the United States. Mercy Health employs more than 32,000 employees in more than 450 health facilities, including 23 hospitals in Ohio and Kentucky.",C,F,A,D,D,210,5,147,Energy,32.6
LifeTree Manufacturing,https://d2ojpxxtu63wzl.cloudfront.net/static/ab3b65c2fea2085b16a2ce45f7830630_33083da21ba84db9344d700d5da39eb1b56d9a471c24133dbbf9f756c67f9ba2,http://lifetreemfg.com,51-200 employees,2011,"Accounting, Arizona, Capsule Manufacturing, Cgmp, Commericial Blending, Contract Manufacturing, Dieting, Encapsulation, Fitness, Gmp Contract Manufacturing Facility, Management, Manufacturing, Nutrition, Nutritional Manufacturing, Private Label, Protein Manufacturing, Wisconsin",,,,,,,"LifeTree Manufacturing is an internationally cGMP certified private label contract manufacturer of nutraceuticals, organic functional foods and custom blended powder products. The list of industries that LifeTree Manufacturing services includes: big box retailers, mass market retail chain stores, manufacturers of natural products and the organic food industry.",D,C,C,F,F,268,15,148,Food & Beverage,5.6
Lancera,https://d2ojpxxtu63wzl.cloudfront.net/static/e729cfd4417287cd7e2f0edacae1730a_ee32045654eaf126d9fd5e54f9050f0a5a247a38af36fbf87210d7bf3b79c37d,http://lancera.com,150,2011,"BPO Services, Computer Networking, Enterprise Software, FedEx, Innovation, Management, Mobile, SaaS, Web Development",,,,,,,Lancera accelerates business growth through intelligent software technology and cyber security solutions with a focus on customer happiness. We provide services to businesses of all sizes in addition to some of the largest companies in the world.,F,A,B,D,F,392,40,149,Software,2.9
"Midroll Media, LLC",https://d2ojpxxtu63wzl.cloudfront.net/static/3eb28720c992cba72315676f782c6d00_f4197b03b741ff9c85ce0bec94533a4053888cf1e4413ddc80df3c7a5fca66c1,http://midroll.com,20,2013,"Audio, Books, Content, Entertainment, Hollywood Reporter, Journalism, Mobile, iTunes",,,,,,,"Midroll Media is a wholly owned subsidiary of the E.W. Scripps Company. It is the parent company of Earwolf, the leading comedy podcast network, the Howl premium audio content platform, and the Midroll podcast advertising agency.  Midroll Media offers a 360-degree suite of production, distribution, and monetization services to artists, entertainers and thought leaders. Advertisers benefit from access to the talented hosts of more than 200 shows and their engaged audiences totaling more than 25 million downloads a month, using the industry's first user-focused, self-service platform.",B,A,A,C,C,100,3,150,Media,7.9
Visual BI Solutions,http://cdn.visualbi.com/wp-content/uploads/visualbi-logo-175-60.png,http://visualbi.com,150,2010,"Business Intelligence and Analytics, End-to-end Bi, Executive Dashboards, Hana Edw, Sap Design Studio",,,,,,,"At Visual BI, we are relentless innovators. Our unyielding passion to deliver innovative technology and intellectually superior consulting makes it possible for our clients to look forward and think ahead. Whether we are working on dashboard for a client or developing new technology, we are always creating based on the premise of how what we are delivering will allow the client achieve hindsight, insight, and foresight.",C,A,C,B,D,129,8,151,Business Products & Services,9
"MediaAlpha, Inc.",https://d2ojpxxtu63wzl.cloudfront.net/static/dbf61a707f5d65a3a7e7e6148817bb50_9efb37a875a131d506a99f32c799f6188a7a7734d4e19492e5570f3658c45022,http://mediaalpha.com,30,2010,"Car Insurance, Finance, Journalism, Leadership, Management",,,,,,,"MediaAlpha was launched with a singular purpose in mind – providing the leading advertisers and publishers in the performance marketing industry all the power and sophistication of the nation’s first transparent exchange technology platform for clicks, call and leads. Built by a team with over 20 years of experience in performance marketing and running multi-million dollar P&Ls, MediaAlpha uniquely understands the needs of Advertisers and Publishers alike.",F,F,B,D,D,450,42,152,Software,85.1
Alliance Neurodiagnostics,http://www.afcompanies.com/wp-content/uploads/2013/10/logo_Alliance1.jpg,http://afcompanies.com,51-200 employees,2006,Gilbert,,,,,,,"Alliance provides diagnostic testing  in North America, with an emphasis on reducing the patient care cycle and improving clinical outcomes. We offer a variety of diagnostic testing to identify neurological and sleep disorders and work with over 500 physicians to serve patients in over 35 states.",D,A,A,F,F,273,34,153,Health,13.2
Zerbee Business Products,https://d2ojpxxtu63wzl.cloudfront.net/static/4769febb8275ff8450168088bca78d8c_5be46cd19abce0399a8a64343bcb422bd268e8540a6ea7c403e2853c5eb8a453,http://zerbee.com,30,2011,"Acroprint, Avery, Binders, Break Room Supplies, Cheap Office Supplies, Copy Paper, Fellowes, File Folders, FireKing, GBC, HON, Janitorial Supplies, Martin Yale, Paper and Pads, Quality Park, Refills, Safco, Sentry Safe, Swingline",,,,,,,"Discount office supplies, office furniture, medical supplies and restaurant supplies.  Over 100,000 products ready to be delivered to any of the 48 contiguous United States.  Authorized HON Furniture deal with direct-from-the-manufacturer pricing.  Featured brands include 3M, Avery, Fellowes, Quartet, Smead, Safco, Sentry Safe, HP.",F,F,A,F,D,348,23,154,Retail,6.3
TrackR,https://d2ojpxxtu63wzl.cloudfront.net/static/5c09f5521b37927b442898f73b4375ed_3b73a4f1caf5e13de0772966ac114ac923fecd90a98cff353b7430430b87bd13,http://thetrackr.com,30,2009,"GPS, Home Automation, Internet of Things, Karlsruhe, Leadership, Management, Thrillers, Wearables, Wireless Sensor Networks",,,,,,,"TrackR gives the task of remembering where items are located to computers. The company does this by creating small wireless tracking devices that interact with software applications running on mobile devices and remote servers. The company has shipped over a _ million devices, is listed #155 on the Inc 500 and has raised over $8.7 million from Foundry Group, Resolute Ventures, IncWell Capital, and others.",A,A,B,C,C,41,10,155,Consumer Products & Services,2.7
"Total Technology Solutions Group, Inc.",https://d2ojpxxtu63wzl.cloudfront.net/static/3caf19027a3e826b8ad2b5f8f5bf1074_12dce53edc4692aa332b6906f0753f9e11f7b06ec494575d532ded7f9f6a9cf9,http://ttsg365.com,11-50 employees,0,"CNBC, CNN, Central Intelligence Agency, Google, Technology",,,,,,,"TTSG creates advanced solutions that simplify operations and maximize your resources. We implement new systems that will streamline your document workflow. We also reinforce total ongoing performance through scheduled reviews. Produce more, spend less and gain the power of progress that frees you to focus on your business. That's powerful innovation.",F,D,C,D,F,380,32,156,Business Products & Services,5.5
180 South Group,https://d2ojpxxtu63wzl.cloudfront.net/static/90957f6dac29a4130c55a967278ab0fa_89f0ae28e2fcdb0f0a8c8ef27c652ba2109d48671fb3b68ac49f843d20face96,http://180southgroup.com,11-50 employees,0,"Audio, DJs, Entertainment, Hip Hop, Management, Reverbnation, iTunes",,,,,,,"180 South Group is a creative management agency representing the world's premier artists and brands. The company was founded by former music executives with high profile brand experience and unparalleled access to talent and opportunities. Due to this, we are positioned to offer our clients unique and insightful perspectives while engaging and inspiring fans in ways never before seen.",F,C,A,F,F,383,47,157,Advertising & Marketing,3.1
Krossover,https://d2ojpxxtu63wzl.cloudfront.net/static/6ef0a43c5a4121485d37958751402c40_9fe4cff36966257d33a23edeb99537b65d2205436eac2d9d22f070392fdd2533,http://krossover.com,100,2009,"Analytics, Colleges and Universities, Indiana, Kentucky, Leadership, Social Games, Sports, Video, Volleyball",,,,,,,"Krossover is a video cataloging and analytics company with a focus on the sports industry. The company enables coaches, athletes, fans, and the media from around the world to access game film and advanced statistics online, and on mobile devices. Get your game brain on!",C,A,D,C,B,153,23,158,Software,4.2
IIT Inc.,https://media.licdn.com/media/p/3/005/098/1c7/12f74f0.png,http://iit-inc.com,500,1995,"IT Projects Consulting - IBM and Oracle Technologies, IT Staffing, Multimedia Communications / Broadband TV, IT Application Outsourcing (Onshore & Offshore), IBM Maximo, Filenet, Websphere, Oracle SOA,EBS,Oracle Apps,Siebel CRM,Exadata,Apex,OBIEE,OBIA",,,,,,,"Since 1995, IIT has been providing technology solutions and services including:• Outsourced IT Projects Consulting for projects involving IBM and Oracle Technologies• IT staffing • Multimedia Communications / Broadband TV Headquartered in New York City Metro area, our clients include Government, Financial Services, Healthcare, Fortune-1000, and Venture-Backed Emerging Companies",F,D,A,D,F,399,22,159,IT Services,26
TouchSuite,https://d2ojpxxtu63wzl.cloudfront.net/static/563eb19da660bc74c5383294e8c141d9_fd3a868d5ec90248cf050283420ec515da0a45f2f25de353d43499b9d703b167,http://touchsuite.com,150,2007,"Journalism, Leadership, Management, Personal Finance, SAAS",,,,,,,"TouchSuite® is one of America’s leading POS systems. Its award-winning, point of sale system is fully integrated with payment processing services catering to restaurants, salons, spas, retail establishments and pet services.",D,A,A,C,D,264,32,160,Software,26.6
Lamps.com,https://d2ojpxxtu63wzl.cloudfront.net/static/fada1bfacb3ddc08a88ec06aea8cc0f5_91a0253529464139b19dfa3e178d239614835d4ed3fe6bba5eb3436d7415e59d,http://lamps.com,30,2010,"Antiques, Crafts, Graphic Design, Innovation, Sewing",,,,,,,"Lamps.com set out to revolutionize the online lighting industry. Our goals were simple – bring the service, knowledge and dedication that you'd find in your local lighting showroom to our web customers. At Lamps.com, we feel that our customers deserve the best shopping experience possible, and to us that means excellence in every area of our business.",B,A,A,C,C,54,8,161,Retail,3.4
AudioMicro,https://d2ojpxxtu63wzl.cloudfront.net/static/328bece338b7967c0af8a93c25ede493_2d7935e1a67aa921fe760c44419e444b6ec78a17fc2b351954a318be0fe4c052,http://audiomicroinc.com,11-50,2007,"Audio, Film, India Politics, Los Angeles, Music",,,,,,,"AudioMicro, Inc. operates a network of digital content licensing marketplaces, each targeted at a specific vertical — celebrity photos, royalty free stock music, sound effects, and YouTube monetization, as well as a few fun and undisclosed web projects.",F,F,D,F,D,350,5,162,Media,13.4
Transitions Commute Solutions Inc.,https://d2ojpxxtu63wzl.cloudfront.net/static/f1780aef795b4ba4fd59deea141d0fe6_a411523385e311f0ced528f1ce0254e81b8fbda037187a74499bf71c2b21a544,http://transit4u.com,150,2010,"Fleet Management, Asset Management, Paratransit Provider, Vanpool Consulting, Federal , State , Local Transporation Funding Experts, Community Outreach",,,,,,,"As a national consultant for commuter services, Transitions Commute Solutions empowers wellness, employment, education, and connectivity.  By reviewing transit systems and potential business models in a given region, we encourage and consult to local transit providers and private vanpool companies to expand current business practices. When we are successful, we bring operational efficiencies and competition to a market.",F,C,B,F,F,484,14,163,Logistics & Transportation,2.5
PrescribeWellness,https://d2ojpxxtu63wzl.cloudfront.net/static/1c3faa22f6fbfcd194228a42480f8673_2b3f4021cfcf00441b728d94ed92ac18150aff26a93ba7de9919038ac0bfbb2c,http://prescribewellness.com,30,2010,"Analytics, Centers for Disease Control and Prevention, Doctors, Health 2.0, Health Care, Health Care Information Technology, Health and Wellness, Nutrition",,,,,,,PrescribeWellness offers innovative technological solutions designed to elevate the community pharmacist’s role in providing preventative healthcare services. Our software makes it easier for pharmacies to improve customer loyalty and provide extended services such as appointment-based medication delivery. PrescribeWellness solutions improve a patient’s medication adherence and the pharmacy’s Star Ratings.,D,A,A,F,D,233,28,164,Health,2.6
"MeritHall, Inc",https://d2ojpxxtu63wzl.cloudfront.net/static/6350e7863a67ac1825bf39bf1f3f8686_6f0e8bf402ffb1648b92615c78f14978f2d354864491b4523907aee1c46ecc39,http://merithall.com,150,2011,"Construction Staffing, Construction Workers, Etc, Facility Staffing, Facility Workers, Landscape Workers, Landscaping Staffing",,,,,,,"MeritHall exists to help contractors acquire, manage, and monitor their resources so they can focus on performing work and completing projects. We provide our clients with the highest quality labor, materials, and operational support to complete their work on time and under budget. MeritHall promotes a symbiotic company culture that values accountability, personal & professional development, innovation, and respect. Our success is defined not by shareholder return, but by the satisfaction and success of our clients, partners, and employees.",F,D,A,D,F,400,16,165,Construction,5.9
"Boyce Technologies, Inc.",https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAALQAAAAJGNkMzk3OGMyLTljYzQtNDNlZS05ZDI1LTY4N2E3ZDk3MzAxMw.png,http://boycetechnologies.com,51-200 employees,2008,Electrical/Electronic Manufacturing,,,,,,,"The men and women of Boyce Technologies, Inc. (“BTI”) ride the subway. We ride it to work, we ride it home, we ride it on the weekends. We know exactly how important it is to have easily identifiable, reliable, and easy to use security and communications equipment in the mass transit market. We make products that connect people to the help they need. Because we’ve been there, we are here.",F,A,B,F,F,422,6,166,Manufacturing,24.9
Boa Logistics,https://d2ojpxxtu63wzl.cloudfront.net/static/f1780aef795b4ba4fd59deea141d0fe6_a411523385e311f0ced528f1ce0254e81b8fbda037187a74499bf71c2b21a544,http://boalogistics.com,11-50,0,Electrical/Electronic Manufacturing,,,,,,,"Boa is a nimble, flexible company that prefers to look at the road (or rail) ahead of us rather than behind us. We believe in providing our clients with unlikely, forward-thinking solutions that use technology to grow their business. And we believe in genuine customer service and lasting relationships. Because when you hire Boa, we’ll be with you for the long haul.",F,D,B,F,F,385,9,167,Logistics & Transportation,6.5
UrgentRx,https://d2ojpxxtu63wzl.cloudfront.net/static/14a6fc2e696d44f9b5c10b4050334148_33a85215011859362322216ef7d71da3a744281bd6e28b97a2cfe341477f3800,http://urgentrx.com,30,2010,"Allergy, Aspirin, B2B, Business, Credit Card Sized, Fast, Headache, Health, Heartburn, Marketing, Medical, Medication, Packets, Powder, Relief, Sales, Upset Stomach, Urgentrx",,,,,,,"UrgentRx offers a line of fast-acting, portable over-the-counter medications that provide 'right now' relief for everyday ailments.",C,A,A,D,C,167,22,168,Health,3.6
"Vensoft, LLC",http://vensoftllc.com/wp-content/themes/wonderwhite/images/logo.png,http://vensoftllc.com,201-500 employees,1996,"consulting, projects, information technology",,,,,,,"Vensoft Inc., incorporated and headquartered in the USA, is a global IT Consulting & Systems Integration firm that delivers high-quality IT services to leading clients around the world.",F,F,D,F,F,485,43,169,IT Services,4.7
Heartland Consulting,https://d2ojpxxtu63wzl.cloudfront.net/static/485acdaf7fe3a77b2fff39fffa924de6_67294e1432f2ba21adc92d327ea4ac981694dfc29533c53a9ee0edd07db9a378,http://heartlandconsulting.com,30,2009,"Reasearch and Analysis, Strategic Planning, Energy Supply & Delivery, Technology Services",,,,,,,"Heartland Consulting is a certified 8(a), veteran owned professional services company. We offer expertise in program management, strategic consulting, technology services, critical infrastructure and continuity of operations. Heartland has worked with a variety of federal government agencies, electric utilities, and private sector clients.",F,B,B,F,F,424,18,170,Government Services,2.7
MidWest Corporate Credit Inc.,https://d2ojpxxtu63wzl.cloudfront.net/static/b1fc071fd61130cc3b7d58de38463856_b69795f4c6c67da4e41cd7e9202e2da0e166961735437c78a0d4d941e6cda314,http://midwestcorporatecredit.com,30,2008,"Australian Government, Blog Talk Radio, Music, Real Estate Investing, The Venture Brothers",,,,,,,"Many small business owners find that starting a business in today's market leaves them at an inherent disadvantage over their already established competition. Due to lack of sufficient start up capital, many entrepreneurs today have given up on the idea of obtaining corporate credit to fund their initial costs to operate, and instead supplement this need with personal savings, credit cards, and loans from family members.",D,D,B,D,D,254,16,171,Financial Services,2.8
Brian D. Evans,https://d2ojpxxtu63wzl.cloudfront.net/static/61af364a5e27438e48d7111c7cbf8194_29484fcd8d3ea665c92e5b2ce69bb8b91a0054e0a46a9ef41ebbd85630718678,http://lionsbrain.com,30,2002,"Business, Entrepreneurship, Kickstarter, Marketing, Startups",,,,,,,"As seen on Inc.com, Influencive.com, Business.com, Entrepreneur.com, Shopify.com and others, Brian D. Evans has been building and advising some of the top startups in the world for over a decade.",F,A,A,F,F,443,58,172,Advertising & Marketing,4.2
TripShock!,graph.facebook.com/tripshockgulfcoast/picture?type=large,http://tripshock.com,5,2009,"Florida, Gulf Coast, Gulf of Mexico, Louisiana, Pensacola",,,,,,,"TripShock.com is a privately held company located in Santa Rosa Beach, FL. TripShock offers travel booking services for various locations along the Northern Gulf Coast. As of 2016, the company has over 140 tour and lodging providers in popular destinations including Destin, New Orleans, Panama City Beach, and Gulf Shores. TripShock continues to have success by offering a wide range of great travel products that consistently satisfy and the meet the demands of modern travelers.",C,F,F,C,C,137,18,173,Advertising & Marketing,2
Visual.ly,https://d2ojpxxtu63wzl.cloudfront.net/static/2dea1c9fded6d4a379fad0e89e57f44e_b2e21e8a2048a4ea11b5fe2ec7a326ed042d1b6d55c11a8fd81c6c648e68c0f9,http://visual.ly,30,2011,"Creative, Design, Finance, Graphic Design, Journalism, Leadership, Management, Marketing, Marketplaces",,,,,,,"Visually is the content creation platform that enables businesses to connect with their audiences through engaging, beautiful visual content. The world’s top brands rely on us for premium videos, infographics, ebooks, presentations, web interactives and more — created fast and cost-effectively. With over 1000 certified creative professionals, our clients get access to the best designers, writers, researchers, and developers available, with a wide range of skills to support their business needs.",A,C,C,A,A,1,1,174,Advertising & Marketing,4.9
Goviva,http://www.govivacorp.com/images/logo-goviva.png,http://goviva.com,11-50 employees,2011,"Entertainment, Leadership, Liquor, Management, Wine",,,,,,,"Goviva helps companies create unique corporate events and experiences and assists brands with incentives, consumer promotions, and celebrity endorsements.",F,A,A,F,D,336,31,175,Consumer Products & Services,11.6
David Sprague,https://d2ojpxxtu63wzl.cloudfront.net/static/0db723b5740b70f4d7ce4d473d7924b4_a787e211c377e93f0f95c36253f1c00655aa6b34c1691bcc92b572d7e105a91d,http://realstrategic.com,11-50 employees,2011,"marketers, consultants",,,,,,,"Real Strategic provides a combination of proprietary software, services and training to the SMB (small and medium-sized business) space and marketing agencies worldwide.",F,F,F,F,D,486,44,176,Software,3.8
CentralCloseout.com,https://d2ojpxxtu63wzl.cloudfront.net/static/c0851c70fad1ad93535bc5c16add45a1_e585d863d99c8852ca5f3cd5cb652b79936b5daed99933ee3473b71f5b8a31b3,http://centralcloseout.com,11-50 employees,2010,"1-888-265-6313, 20 Foot Containers, 40 Foot Containers, Almay Clear Complexion Makeup, Amazon, American Made, Anne Klein, Beachwear, Bebe, Betsy Johnson, Big Buddha, Broward County, Calvin Klein, Caracas, Cheap Baby Diapers, Children's Clothing, Closeout Sales, Closeouts, Clothes Wholesalers, Coach, Cosmetics Liquidations, Credentials, Cuba, Curling Irons, Customer Returns, Etienne Aigner, Florida, Foster Grant Sunglasses, Furniture Liquidators, Giani Bernini, Goody Hair Accessories, Guess, Hair Dryers, Hollywood, Jeans, L'Oreal, Lee, Levi, Liquidated Jewelry, Lucky Brand, Marc Fisher, Maybelline, Merchandise Liquidators, Michael Kors, Milani, Nine West, Online Wholesale, Pallet Sales, Pallets, Publishing, Return Toys, Ride on Toys, Shoes, Softee Supreme Diapers, Spring Apparel, Sun Dresses, The Sak, Tignanello, Tools, West Park, Wholesaler, eBay",,,,,,,"Central Closeout has been helping customers and companies of all sizes since it was first founded. We know how difficult and confusing it can be to do business in this particular industry.  Our sales team has a vast network of sources including manufacturers and retailers, that can offer you the widest varieties of wholesale closeout merchandise at the lowest possible cost.  Helping you maximize your investment.",C,F,B,D,D,213,15,177,Business Products & Services,4.2
Integrhythm Inc,http://www.integrhythm.com/wp-content/uploads/2015/07/lgo-300x56-300x56.png,http://integrhythm.com,30,0,"ServiceNow, IT Advisory, Program Management, Enterprise Cloud",,,,,,,"Integrhythm connects the business with IT to deliver value across the organization through expanded productivity, capacity, and quality of service. From program advisory and tool selection to ServiceNow implementations, we partner with clients to hit and exceed strategic objectives.",F,A,B,F,F,477,39,178,IT Services,3.8
AIT Bioscience,https://media.licdn.com/media/p/3/000/04c/228/3cda819.png,http://aitbioscience.com,51-200 employees,2009,"Bioanalytical, TK Assays, PK assays, Immunogenicity, ELISA, LC-MS/MS, Clinical PK study support, Bioanalytical assay development",,,,,,,AIT Bioscience provides expert bioanalytical assay services for small molecule and biotherapeutic drug programs from early discovery to IND enabling toxicology through clinical studies to NDA/ANDA/BLA filing.,D,A,B,F,D,251,31,179,Health,5.9
ISGF - Recruiting Excellence,https://media.licdn.com/media/p/1/000/246/3ee/04058e4.png,http://isgf.com,150,1991,"Employment, Information Technology",,,,,,,"ISGF™ is a full-service recruiting firm headquartered in Orlando, FL, with offices in Jacksonville, FL and Washington. We provide Temporary Staff Augmentation, Contract to Hire, and Direct Hire placement.  Our engagements run from several weeks, to several years depending on the scope and depth of your company’s specific needs and span across the Continental United States, as well as Hawaii.",F,A,B,D,F,478,40,180,IT Services,5.5
The K Company Realty LLC,https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAdXAAAAJDgxZjQzM2JlLWNhN2ItNDhiZS04ZmY4LWE4OWYxMGYyM2MzZg.png,http://thekcorealty.com,501-1000,2009,"The K Company Realty, LLC is a nationally ranked vibrant company that’s paved its way as a premier full service real estate firm. Our high level of customer service makes our clients comfortable, our market expertise makes them confident and the results make them smile. ",,,,,,,0,D,F,D,F,F,308,10,181,Real Estate,5.5
The Good Bean,https://d2ojpxxtu63wzl.cloudfront.net/static/decce531602c26a583b63d3875126760_eb9dffc3e0b593e2a37d7660f6d7726b813b123d086fdcc014a4e8615adcf854,http://thegoodbean.com,1-10 employees,2010,"Chickpea Snacks, Chocolate, Cookies, Diabetic Snacks, Dieting, Gluten Free, Gluten Free Snacks, Healthy Snacks, Nutrition, Recipes, Roasted Chickpeas, Salad, The Good Bean, Veganism, Video Editing, Wine",,,,,,,"The Good Bean is a snack food company founded by Sarah Wallace and Suzanne Slatcher in 2010, and based in Berkeley, CA. The Good Bean specializes in chickpea based snacks",B,A,A,D,C,78,4,182,Food & Beverage,3.9
"Pontchartrain Partners, LLC",http://pontchpartners.com/wp-content/themes/Starkers_Theme/images/logo.png,http://pontchpartners.com,1-10 employees,2009,Civil Engineering,,,,,,,"Pontchartrain Partners, LLC, founded in 2009, initially provided services on large scale A/E and Professional service contracts to help rebuild New Orleans’ flood protection system in the aftermath of Hurricane Katrina and has since expanded its concentrations. Pontchartrain is a Service Disabled Veteran Owned Small Business relying on the expertise of former military and civilian U. S. Government employees focused in the areas of Construction Management, Quality Assurance, Project Management, and Engineering Design.",F,A,B,F,F,426,19,183,Government Services,24.9
"Optimatic Media, Inc.",http://www.optimatic.com/wp-content/uploads/2015/08/logo21.png,http://optimatic.com,30,2011,"Internet, Advertising",,,,,,,Optimatic is the leading provider of fully managed video advertising solution for publishers.,F,F,B,D,D,487,63,184,Advertising & Marketing,78.7
BurgerFi,https://d2ojpxxtu63wzl.cloudfront.net/static/f007685523a2ea6f8c0883b3bc0e278e_28d2178c6e2d4582cde47cb579d6367e5f14a1a7ecdeb80bbb571d4277bffb8c,http://burgerfi.com,"5001-10,000 employees",2011,"all-natural, All natural Angus beef, environmentally sustainable, better burger, Franchise, fast casual",,,,,,,"BurgerFi is the fastest growing burger franchise in America. We are building locations nationally, after starting our first location in Fort Lauderdale by the Sea. Please visit our website for more details on the locations in your area and franchising opportunities available.",C,A,C,D,C,170,11,185,Food & Beverage,66.4
Centerspan LLC,https://d2ojpxxtu63wzl.cloudfront.net/static/1530b307d992797ef90b2463105d7a4a_96902911ec22bd7accc9e1152c6ebd27468e7df838699ff67bd9160b13fff88c,http://centerspanmedical.com,11-50 employees,2010,"Stairlifts, Handicap Accessibility, Vertical Platform Lifts",,,,,,,Centerspan Medical was established with the purpose of helping persons with mobility related issues. We have coverage scattered across the United States to help you or your loved one. We use a consultative approach to helping you and your loved ones understand their limitations and what can be done to bridge the gap to independence.,F,A,B,F,F,451,56,186,Health,3.8
CDIntegration,https://d2ojpxxtu63wzl.cloudfront.net/static/738111e98f8762072cc27422d8b7932c_6cd4cd105de8cc7bbf66bdf7502491f79eff93be891e53c08f19b12daf4e9574,http://cdillc.com,51-200 employees,1995,"Finance, Leadership, Management, SAAS, VMware",,,,,,,"Founded in 1995, Computer Design & Integration (CDI, LLC) is a nationally acclaimed and top-ranked IT solutions provider offering the most up to date hybrid IT cloud solutions and more. We focus on solving today’s most complex business challenges by developing and implementing comprehensive and innovative infrastructure solutions that best enhance day-to-day workflow.",C,F,A,D,D,155,5,187,IT Services,27.9
iTexico,https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAALwAAAAJDFhZjgwNzMwLWMzZDUtNGM4Yi1iZGY3LWE5ODVkZjMxYTdjNQ.png,http://itexico.com,150,2010,"Asia, Management, Mobile Applications, Web Development, iOS",,,,,,,"iTexico is an Austin-based nearshore technology company that provides businesses with full lifecycle mobile application services including architecture, experience design, mobile and web development, testing and quality assurance.",C,A,B,D,D,224,9,188,IT Services,4.1
David P. Schaeffer,https://d2ojpxxtu63wzl.cloudfront.net/static/1b830b0e21b92f604c4dea124417ebe8_fa77867c3178143e1e1bc6f249417349bc4da6291c8f7eb10c54bbacab1d0079,http://americanretire.com,11-50 employees,0,Financial Planner,,,,,,,"David Schaeffer has been advising folks just like you on how to navigate the mysteries of Medicare.  Thousands of retirees including past employees of American Airlines, Banner Healthcare, Boeing, Honeywell, IBM, Intel, Pitney Bowes, and the State of Arizona have gone to Mr. Schaeffer for his expertise in transitioning from group and individual health plans to Medicare.",D,D,A,F,F,255,17,189,Financial Services,22
Fatbeam,https://media.licdn.com/media/p/6/005/051/3c3/322e323.png,http://fatbeam.com,5,2010,"Business Service, Dark Fiber, Education, Enterprise, Ethernet, Fatbeam, Fiber Optic, Healthcare, Internet Service, Lit Fiber, Northwest",,,,,,,"Fatbeam delivers broadband access services to business enterprise, healthcare, education and government customers in the Western United States. We offer fiber optic bandwidth starting at 1 gigabit Ethernet, extending to 400 gigabit and jumping to dark fiber.",F,A,F,F,F,452,5,190,Telecommunications,2.3
"Global Dimensions, LLC",https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAjMAAAAJDM0YWIzMDdlLWU1ZjgtNDVlMS1iY2E5LWIwYzJiY2UyMDU1YQ.png,http://globaldllc.com,150,2009,"Analysis, Analyst, Arabic, Army, Chris Newton, Cleared, Communications, Counter Intelligence, Defense Intelligence Agency, Department of Defense, Dia, Federal, Global Dimensions, Government, HUMINT, Hubzone, Human Intelligence, Information Technology, Inscom, Instruction, Intelligence, Interpretation, It, Language, Linguistics, Pashto, Pashtu, Role Players, SIGINT, Secret, Signal Intelligence, Small Business, Top Secret, Translation, Veteran Owned",,,,,,,"Global Dimensions is a Certified Service Disabled Veteran Owned, HUBZone, small business. Our core capabilities are in Language, Intelligence, Communications, IT, Cyber, Management and Training. We are dedicated to providing highly skilled personnel with a focus on mission success to our customers, great relations with our teaming partners and a foundation of respect to our employees.",F,A,B,F,F,464,23,191,Government Services,8
ZestFinance,https://d2ojpxxtu63wzl.cloudfront.net/static/c708cf91a6f06f9fe5e72d354b938b3e_a73f55bb4665f85698850cdc1c5ac2c2de5d4e81d6893d50b081c2701ef2a616,http://zestfinance.com,150,2009,"Finance, Leadership, Management, Personal Finance, Private Equity",,,,,,,"ZestFinance is one of the fastest growing financial technology startups in the United States. Founded by Douglas Merrill, former CIO at Google, Zest is a tech platform that applies Google-like math to credit decisions.",D,A,A,D,C,320,20,192,Financial Services,51
Zero Energy Contracting,https://d2ojpxxtu63wzl.cloudfront.net/static/75d2bbc8150fb421da72aeda2b745d6f_45b389ac061ae28ddfe61f6fe928e9c0ea0c5f808f36f500e0c4e6a5bf2d47ac,http://zeroenergyco.com,51-200 employees,2008,"Climate, Electric Cars, Energy, Energy Efficiency, The Environment",,,,,,,"Saving energy not only saves you money, but it also helps protect our planet's resources for generations to come. That's why we work in conjunction with the Energy Upgrade California program (#1 installer in Southern California since 2011) to offer free Home Energy & Safety Audits that help educate home owners on what improvements they can make to increase the efficiency and safety of their home. ",C,F,B,D,C,202,4,193,Energy,13.6
